City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Garliava,LT,71.58,few clouds,54.8167,23.8667,"Armenia, cafe-motel, TIR parking"
6,Kavaratti,IN,83.98,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
12,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Torbay,CA,72.37,few clouds,47.6666,-52.7314,Gallows Cove
17,Tricase,IT,76.35,clear sky,39.9304,18.3553,Hotel Adriatico
20,Albany,US,73.72,overcast clouds,42.6001,-73.9662,
21,Kirakira,SB,79.23,moderate rain,-10.4544,161.9205,SanBiz Lodge
25,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
26,Soyo,AO,82.45,few clouds,-6.1349,12.3689,Hotel Mpampa
28,Pontianak,ID,80.58,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
29,Eldorado,BR,84.45,clear sky,-23.7869,-54.2836,Villa Verde Hotel
30,Gospic,HR,71.29,broken clouds,44.5461,15.3747,Apartment Saric
36,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Bonthe,SL,84.74,light rain,7.5264,-12.505,Bonthe Holiday Village
41,Pingshan,CN,79.09,overcast clouds,22.9938,114.7131,Island Skylight Resort
43,Antalaha,MG,72.75,clear sky,-14.9003,50.2788,Hotel Vitasoa
44,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
48,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,Katsuura,JP,70.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
53,Saint-Francois,FR,80.04,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
58,Aksu,CN,75.88,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
59,Rikitea,PF,72.72,overcast clouds,-23.1203,-134.9692,Pension Maro'i
61,Gorontalo,ID,75.42,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
62,Pishin,PK,83.48,clear sky,30.5803,66.9961,City Hotel Pishin
63,Guerrero Negro,MX,70.59,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
